0          EXTRATO C/C    92702067007280                                    041BERGS          10120201600BPI                                                                                 04041000001
102966621680009990009       40006009123000                                      061202000000000003582744C                                                                                    04041000002
102966621680009990009       400060091230011040159DB.CFE AVISO-R           004337021206000000000000016850D                             3039                                                   04041000003
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000273021209000000000000376304C                             2640                                                   04041000004
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000274021209000000000000297455C                             2640                                                   04041000005
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000950021209000000000000610461C                             2571                                                   04041000006
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000953021209000000000000589639C                             2571                                                   04041000007
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000958021209000000000000089500C                             2571                                                   04041000008
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000966021209000000000000300000C                             2136                                                   04041000009
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          000968021209000000000000007305C                             2136                                                   04041000010
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001015021209000000000000599395C                             2640                                                   04041000011
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001160021209000000000000014550C                             2136                                                   04041000012
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001209021209000000000000323870C                             2136                                                   04041000013
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001250021209000000000000180000C                             2640                                                   04041000014
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001670021209000000000000100910C                             2516                                                   04041000015
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001671021209000000000000230775C                             2516                                                   04041000016
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001674021209000000000000182400C                             2516                                                   04041000017
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001686021209000000000001340000C                             2516                                                   04041000018
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001700021209000000000000300000C                             2136                                                   04041000019
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001716021209000000000000300000C                             2136                                                   04041000020
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001728021209000000000000300000C                             2136                                                   04041000021
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001758021209000000000000107510C                             2136                                                   04041000022
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001767021209000000000001720000C                             2516                                                   04041000023
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001795021209000000000000300000C                             2136                                                   04041000024
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001832021209000000000000162890C                             2136                                                   04041000025
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001907021209000000000000200000C                             2136                                                   04041000026
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001949021209000000000000148532C                             2132                                                   04041000027
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          001951021209000000000000446467C                             2132                                                   04041000028
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002178021209000000000000260385C                             2136                                                   04041000029
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002267021209000000000000149140C                             2949                                                   04041000030
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002281021209000000000000250000C                             2949                                                   04041000031
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002295021209000000000000094450C                             2949                                                   04041000032
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002554021209000000000000110000C                             2878                                                   04041000033
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002559021209000000000000081470C                             2878                                                   04041000034
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002564021209000000000000002593C                             2878                                                   04041000035
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002711021209000000000000085562C                             2308                                                   04041000036
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002974021209000000000000565384C                             2946                                                   04041000037
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          002989021209000000000000535416C                             2946                                                   04041000038
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          003012021209000000000000002500C                             2949                                                   04041000039
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          003033021209000000000000001950C                             2949                                                   04041000040
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          003038021209000000000000007200C                             2949                                                   04041000041
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          003043021209000000000000185000C                             2949                                                   04041000042
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          003181021209000000000000287652C                             2898                                                   04041000043
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          003183021209000000000000300000C                             2949                                                   04041000044
